Design,Start_Quarter,Adjusted,Incl_PrevQ_Boosted,n,HospVE,Lower95,Upper95
1,Q2 2022,N,N,101313,-5.777535,-7.126649,-4.652388
2,Q2 2022,Y,N,101313,-3.586547,-4.552102,-2.788909
3,Q2 2022,N,Y,102527,-5.305597,-6.496884,-4.303611
4,Q2 2022,Y,Y,102527,-3.349195,-4.216009,-2.626431
5,Q3 2022,N,N,82471,-26.641235,-39.353323,-17.933704
6,Q3 2022,Y,N,82471,-18.977263,-28.42629,-12.562397
7,Q3 2022,N,Y,87227,-8.027647,-10.24015,-6.250652
8,Q3 2022,Y,Y,87227,-6.14124,-8.028455,-4.648509
