Design,Method,For,n,HospVE,Lower95,Upper95
1,Unadj.,N/A,201922,0.51046,0.4035208,0.5982266
2,Covar. Adj.,N/A,201922,0.4779246,0.3621221,0.572704
3,Exact,Boosting,156481,0.6447533,0.5474837,0.7211145
4,Exact Strat.,Boosting,156481,0.6021545,0.4722662,0.7000741
5,Prop. Cal.,Boosting ,65366,0.4836729,0.3323497,0.6006987
6,Prop. Cal. Strat.,Boosting ,65366,0.5897436,0.4259401,0.7068071
7,Prop. Adj.,Boosting,201922,0.5202107,0.4128277,0.6079554
8,Prop + Covar. Adj.,Boosting,201922,0.470994,0.353107,0.5673978
9,IPW,Boosting ,201922,0.5620749,0.4514134,0.6504136
10,IPW Covar. Adj.,Boosting ,201922,0.5024584,0.3829722,0.5988064
11,Exact,Testing,193734,0.5030916,0.3869315,0.5972425
12,Exact Strat.,Testing,193734,0.5427255,0.4279928,0.6344453
13,Prop. Cal.,Testing,181308,0.5322985,0.4127117,0.6275344
14,Prop. Cal. Strat.,Testing,181308,0.5866667,0.371869,0.7280114
15,Prop. Adj.,Testing,201922,0.5054396,0.3974893,0.5940487
16,Prop + Covar. Adj.,Testing,201922,0.5343282,0.4309257,0.6189421
17,IPW,Testing,201922,0.504219,0.394543,0.5940277
18,IPW Covar. Adj.,Testing,201922,0.5373682,0.4309337,0.6238959
19,Prop. Adj.,Both,201922,0.5180321,0.4103359,0.6060586
20,Prop + Covar. Adj.,Both,201922,0.5024584,0.3829722,0.5988064
